protein1,protein2,label
Q96LZ2,Q9Y5K2,Negative
Q96LZ3,Q12800,Positive
Q96LZ3,Q96PC2,Negative
Q96LZ3,Q8NI51,Negative
Q96LZ3,Q09028,Negative
Q16514,Q15572,Positive
Q16514,O00268,Positive
Q16514,P20226,Positive
Q16515,Q9NRD5,Positive
Q16517,Q69YU3,Negative
Q16512,Q15834,Positive
Q14002,Q96P65,Negative
Q14002,Q6ICC9,Negative
Q14002,Q5TFG8,Negative
Q14002,Q9BYT8,Negative
Q14003,Q8NHB7,Negative
Q5VVM6,O00175,Negative
Q5VVM6,P04632,Negative
Q9Y4K0,P49006,Positive
Q9Y4K0,Q8WUB2,Negative
Q9Y4K0,O95716,Negative
Q9Y4K0,P62841,Negative
Q9Y4K0,Q5VZV1,Negative
P19224,Q6H8Q1,Negative
P19224,P25686,Negative
Q9BUV8,Q9H6X5,Negative
Q9BUV8,P11474,Negative
Q9BUV8,Q9HC24,Negative
Q107X0,Q9GZN2,Negative
Q107X0,A6NF34,Negative
Q107X0,Q6IN84,Negative
Q107X0,Q969H4,Negative
Q6Y288,P51843,Negative
Q8NCW6,P68363,Negative
Q9BUV0,P49760,Positive
Q9BUV0,P49761,Positive
Q9BUV0,Q8NES8,Negative
Q9BUV0,Q96HJ3,Negative
Q9BUV0,Q9HBE1,Negative
Q9BUV0,Q8N5U6,Negative
Q9BUV0,P51671,Negative
Q9HA77,Q9Y6F8,Negative
Q9HA77,P35527,Negative
Q9Y3A5,Q96AP0,Positive
Q9Y3A5,Q765P7,Negative
Q9Y3A5,P0C7Q6,Negative
Q9HA72,Q9BY27,Negative
Q9UFC0,Q8TDR4,Negative
Q9UFC0,P10145,Negative
Q9UFC0,Q99518,Negative
P07197,P49914,Negative
Q9NY84,P48147,Negative
Q9NY84,Q8WU68,Negative
O14939,P23528,Positive
O14939,P62993,Positive
O14939,P15153,Positive
O14936,P41134,Positive
O14936,O14910,Positive
O14936,P34741,Positive
O43325,Q6P7N7,Negative
O43325,Q86W26,Negative
O43324,Q13137,Positive
O43324,Q9BTE0,Positive
O43324,Q56UQ5,Negative
O43323,Q96L21,Negative
O43323,P05408,Negative
O14933,O95376,Positive
O14933,Q8N9I9,Positive
O14933,Q17RB8,Positive
O14933,Q9BYM8,Positive
O14933,Q7Z419,Positive
O14933,Q6ZMZ0,Positive
O14933,Q9BZR9,Positive
O43320,O43818,Negative
O43320,Q9UBD9,Negative
P49406,Q30201,Negative
Q6PEV8,P61964,Positive
Q6PEV8,Q9UPQ4,Negative
Q6PEV8,O00168,Negative
Q6PEV8,O60476,Negative
Q6PEV8,P07305,Negative
O43173,Q16820,Negative
O43173,Q6JBY9,Negative
O43173,Q96IZ6,Negative
O43173,Q8N4S7,Negative
O43173,Q15434,Negative
P55000,Q8N4A0,Negative
P55000,Q16690,Negative
P0DL12,P17861,Negative
P0DL12,P53794,Negative
P0DL12,A0A087WVF3,Negative
P0DL12,P19086,Negative
Q96KF2,Q01546,Negative
Q9Y3A4,Q9UBB9,Positive
Q9Y3A4,Q15843,Negative
Q9Y3A4,Q96N03,Negative
Q9Y3A4,Q9Y2A4,Negative
Q9Y3A4,Q0VG06,Negative
Q96KF7,Q96FK6,Negative
Q96KF7,Q8N2Z9,Negative
Q96KF7,P34130,Negative
Q96KF7,O43825,Negative
Q0ZLH3,Q9Y672,Negative
Q0ZLH3,A0AVI4,Negative
Q0ZLH3,P11216,Negative
Q0ZLH3,Q53F19,Negative
Q8IZJ0,P07384,Negative
Q6NXP6,Q9NRS4,Negative
Q6NXP6,Q68CQ4,Negative
Q8IZJ6,P27448,Negative
Q8IZJ6,Q96P65,Negative
Q8IZJ6,Q03938,Negative
Q8IZJ6,Q96DF8,Negative
Q8IZJ4,Q56UQ5,Negative
Q7Z7F7,P11309,Negative
Q7Z7F0,Q9UHX1,Positive
Q7Z7F0,Q14498,Positive
P56937,Q9GZX7,Negative
P56937,Q06250,Negative
P56937,Q8N6Y0,Negative
P56937,P58549,Negative
P56937,Q9Y6J3,Negative
Q08830,Q49MI3,Negative
Q8NH18,P40189,Negative
Q8NH18,O00481,Negative
Q8NH18,Q9UBS8,Negative
Q8NH18,P05109,Negative
Q9BY21,Q96I76,Negative
Q9BY21,Q96AN5,Negative
Q9Y2K5,Q92567,Positive
Q9Y2K5,P60410,Positive
Q9Y2K5,Q9BYR7,Positive
Q9Y2K5,Q7Z3S9,Positive
Q9Y2K5,Q93062,Positive
Q9Y2K6,Q969F0,Positive
Q9Y2K6,Q99750,Positive
Q9Y2K6,O43597,Positive
P37088,O75817,Negative
P37088,Q8NBD8,Negative
P37088,P30084,Negative
P34810,Q8N319,Negative
P34810,P58417,Negative
Q9BY27,Q05D60,Positive
Q9BY27,Q9NRY2,Positive
Q9BY27,Q15323,Positive
Q9BY27,Q9BRK4,Positive
Q9BY27,Q9NSE7,Negative
Q9BY27,Q5HYJ3,Negative
Q96MT7,P0CJ73,Negative
Q96MT7,Q01081,Negative
Q9UHY1,P60763,Positive
Q9UHY1,Q9Y3Q8,Positive
Q9UHY1,Q9UKB5,Negative
Q9UHY1,P61077,Negative
Q9UHY1,Q9BVA1,Negative
Q96MT4,P27658,Positive
Q96MT4,A8MQ03,Positive
Q96MT4,Q9H596,Positive
Q96MT4,P28799,Positive
Q96MT4,Q3LI76,Positive
Q96MT4,Q6PEX3,Positive
Q96MT4,Q9BYQ6,Positive
Q96MT4,Q99471,Positive
Q96MT3,Q96A72,Negative
Q96MT1,P11686,Negative
Q9UHY7,Q9H4P4,Positive
Q9UHY7,O60942,Negative
Q9UHY8,Q8IUH5,Positive
Q9UHY8,O00482,Negative
Q9UHY8,Q8N2U9,Negative
Q9UHY8,P01236,Negative
Q9UHY8,P15336,Negative
Q9UHY8,Q6ZPD9,Negative
O14681,P08697,Negative
O14681,P62266,Negative
O14681,P81877,Negative
O14681,Q15527,Negative
O14682,Q5H9S7,Negative
O14682,Q9H6X4,Negative
O14682,Q9H0B8,Negative
O14682,Q6JEL2,Negative
O14682,Q13907,Negative
O14684,Q1EHB4,Negative
O14684,Q9Y271,Negative
Q8N1P7,O95460,Negative
Q8N1P7,P11229,Negative
Q8N1P7,Q9BRV8,Negative
Q8N1P7,Q8NHS3,Negative
Q96MT8,P53365,Positive
Q96MT8,Q86XR8,Positive
Q96MT8,Q8IYX8,Positive
Q96MT8,Q96CS2,Positive
Q96MT8,P55081,Positive
Q96MT8,Q9NPJ8,Positive
Q96MT8,Q969G3,Positive
Q96MT8,Q99909,Positive
Q96MT8,Q9BSW7,Positive
Q96MT8,Q92844,Positive
Q96MT8,Q99816,Positive
Q96MT8,Q8TBK6,Positive
Q96MT8,Q5T7P8,Negative
Q8IV08,Q8N4S9,Negative
Q8IV08,P25106,Negative
Q8IV08,O75351,Negative
Q8IV08,P10153,Negative
Q8IV08,P56696,Negative
Q8NH19,Q6P2I3,Negative
Q8NH19,Q9H3E2,Negative
Q8NH19,Q6ZVT0,Negative
Q8NH19,Q96T25,Negative
Q9Y3A2,Q8NHQ1,Positive
Q9Y3A2,Q6IBS0,Negative
Q9Y3A2,Q9P0W8,Negative
Q9Y3A2,Q6UW56,Negative
Q9Y3A2,Q9NQ60,Negative
Q9UNE7,Q96AP0,Positive
Q9UNE7,P31749,Positive
Q9UNE7,Q86WG3,Positive
Q9UNE7,Q99933,Positive
Q9UNE7,O95816,Positive
Q9UNE7,O95817,Positive
Q9UNE7,Q9NRJ3,Positive
Q9UNE7,Q9BZS1,Positive
Q9UNE7,P07900,Positive
Q9UNE7,P08238,Positive
Q9UNE7,P11142,Positive
Q9UNE7,Q9Y2U5,Positive
Q9UNE7,P10636,Positive
Q9UNE7,Q96PB7,Positive
Q9UNE7,Q9BVN2,Positive
Q9UNE7,Q99757,Positive
Q9UNE7,P61088,Positive
Q9UNE7,Q7Z7E8,Positive
Q9H334,Q4LDG9,Negative
Q9UNE0,Q5PSV4,Negative
Q9UNE0,Q9Y463,Negative
Q9UNE0,Q9H9H5,Negative
Q6FHJ7,Q15027,Negative
Q6FHJ7,Q13444,Negative
Q6FHJ7,Q580R0,Negative
Q00973,Q16831,Negative
Q6P6B7,Q8TAD8,Negative
Q6P6B7,Q8NA69,Negative
Q86SZ2,O43617,Positive
Q86SZ2,P55851,Negative
Q00978,P48551,Positive
Q00978,P52630,Positive
Q00978,Q9H1C0,Negative
Q00978,Q8NGS7,Negative
Q00978,Q16520,Negative
Q00978,P15248,Negative
Q00978,Q96EC8,Negative
Q6P6B1,Q68J44,Negative
Q6P6B1,Q9NPC2,Negative
Q7Z713,P54840,Negative
Q7Z713,O00429,Negative
Q7Z713,Q96RU8,Negative
Q7Z713,Q6VAB6,Negative
Q7Z713,P17020,Negative
Q9BYM8,Q9Y6K9,Positive
Q9BYM8,P41227,Positive
Q9BYM8,Q9BU61,Positive
Q9BYM8,Q9H0F6,Positive
Q9BYM8,Q8N0S2,Positive
Q9BYM8,Q96PN8,Positive
Q9BYM8,P68036,Positive
Q9BYM8,O14933,Positive
Q9BYM8,P61088,Positive
Q9BYM8,Q8IVI9,Negative
Q9BYM8,Q9H1M0,Negative
Q9BYM8,Q8N8D9,Negative
P22888,Q5NUL3,Negative
P22888,Q8IYJ0,Negative
P22888,Q9H239,Negative
P22888,O95371,Negative
Q12872,O75690,Negative
Q9UI30,Q96BT7,Positive
Q9UI30,Q9UGI6,Negative
Q9UI30,O43240,Negative
Q3SYF9,Q13554,Positive
Q3SYF9,O75553,Positive
Q3SYF9,Q9BYR6,Positive
Q3SYF9,Q16633,Positive
Q3SYF9,Q93062,Positive
Q3SYF9,Q9BQY4,Positive
Q3SYF9,Q08AM6,Positive
Q3SYF9,P61812,Negative
Q3SYF9,Q8NFI4,Negative
Q3SYF9,Q6UX53,Negative
Q3SYF9,Q13526,Negative
P50895,O95198,Positive
Q8IY26,Q5T700,Positive
Q8IY26,Q8TAG9,Negative
Q8IY26,P14210,Negative
P61550,Q9BSN7,Negative
P61550,Q96P11,Negative
P61550,Q9Y2G7,Negative
P61550,P01848,Negative
P49895,Q01433,Negative
P35240,Q9BZE4,Positive
P35240,Q9H204,Positive
P35240,O14745,Positive
P35240,Q9NRF8,Negative
P35240,Q9C0J1,Negative
A6NJQ4,Q9Y466,Negative
A6NJQ4,Q8TEW6,Negative
O95755,Q9H4E7,Negative
O95755,Q5I0X4,Negative
O95755,P59037,Negative
Q13585,P04731,Positive
Q13585,P02795,Positive
Q13585,Q7Z3I7,Positive
Q13585,O95379,Negative
Q13585,A8MT19,Negative
O95757,Q96AQ1,Negative
O43247,P47211,Negative
O43247,A6NDH6,Negative
O43247,Q04844,Negative
O43247,P35475,Negative
O95751,O14639,Positive
O95751,Q08117,Positive
O95751,Q9BXS5,Positive
O95751,P18848,Positive
O95751,O75348,Positive
O95751,Q99728,Positive
O95751,Q9NX04,Positive
O95751,Q8WYA6,Positive
O95751,Q92785,Positive
O95751,Q7L190,Positive
O95751,Q9BQ89,Positive
O95751,Q9Y247,Positive
O95751,Q86YD7,Positive
O95751,P15407,Positive
O95751,P51116,Positive
O95751,Q9NVN8,Positive
O95751,Q96CS2,Positive
O95751,P56524,Positive
O95751,O14964,Positive
O95751,Q96BZ8,Positive
O95751,Q9HAF1,Positive
O95751,P55081,Positive
O95751,Q9UBU9,Positive
O95751,Q86TG7,Positive
O95751,Q9H8W4,Positive
O95751,Q8WWY3,Positive
O95751,P25786,Positive
O95751,O00560,Positive
O95751,Q9H788,Positive
O95751,Q96GM5,Positive
O95751,Q9P0N9,Positive
O95751,P13805,Positive
O95751,Q5W5X9,Positive
O95751,Q05516,Positive
O95751,O43167,Positive
O95751,Q8N5A5,Positive
O95751,Q15973,Positive
O95751,Q9H9D4,Positive
O95751,Q8TBZ8,Positive
O95751,Q6NX45,Positive
O95751,Q5QGT7,Negative
O95751,P98082,Negative
O95751,Q8NGN1,Negative
O95750,Q13634,Negative
O95750,Q8N7S2,Negative
O95750,P47871,Negative
Q8WWC4,Q92478,Negative
Q8WWC4,Q8NGY6,Negative
Q8WWC4,Q9Y6Q6,Negative
Q8WWC4,A6NH00,Negative
Q8WWC4,P58170,Negative
Q06730,Q9ULX9,Negative
Q06730,Q9BRL7,Negative
P13349,Q6P2P2,Negative
P13349,Q8N123,Negative
P13349,P07205,Negative
P01825,Q687X5,Negative
P01825,Q6PK18,Negative
P01825,O60504,Negative
P01825,Q96MV8,Negative
Q6UY11,Q10589,Negative
Q6UY11,Q8WWF3,Negative
Q13588,Q93062,Positive
Q13588,P19474,Positive
Q13588,Q53EL9,Negative
Q13588,Q8N4V1,Negative
Q96GI7,P06312,Negative
Q6UY14,Q8TAB7,Positive
Q6UY14,Q9Y6H1,Positive
Q6UY14,P09228,Positive
Q6UY14,A8MQ03,Positive
Q6UY14,Q96T75,Positive
Q6UY14,P68106,Positive
Q6UY14,P09681,Positive
Q6UY14,Q9BYR5,Positive
Q6UY14,Q6L8G9,Positive
Q6UY14,P26371,Positive
Q6UY14,Q9BYQ2,Positive
Q6UY14,Q5T7P3,Positive
Q6UY14,O14633,Positive
Q6UY14,Q5TA82,Positive
Q6UY14,Q5T5A8,Positive
Q6UY14,Q9BYE3,Positive
Q6UY14,Q5T5B0,Positive
Q6UY14,Q5TA78,Positive
Q6UY14,Q8TCE9,Positive
Q6UY14,P25800,Positive
Q6UY14,P25791,Positive
Q6UY14,Q8N6N6,Positive
Q6UY14,Q13526,Positive
Q6UY14,Q6RVD6,Positive
Q6UY14,P20155,Positive
Q6UY14,P47914,Negative
Q9BWH2,Q9BQ65,Negative
Q8NHV5,Q9UBP9,Negative
Q8NHV5,P63162,Negative
Q8NHV5,Q5TA76,Negative
Q8NHV4,Q6AZW8,Negative
Q8NHV4,Q8TB69,Negative
Q6YP21,P28332,Negative
Q6YP21,Q03924,Negative
Q8NHV1,Q9UG22,Positive
Q8NHV1,Q9BZK8,Negative
Q8NHV1,Q6VVX0,Negative
Q8NHV1,P25189,Negative
Q8NHV1,Q9BQG1,Negative
Q8NHV1,O75529,Negative
O43670,Q8IYL2,Negative
Q6TDP4,P01877,Negative
P05013,Q01081,Negative
P05013,Q9UBI9,Negative
Q9C0J9,F2Z333,Negative
Q9C0J9,Q8WY07,Negative
Q9C0J9,Q92759,Negative
Q9H788,P13196,Positive
Q9H788,P0C7W6,Positive
Q9H788,Q01850,Positive
Q9H788,Q8NHQ1,Positive
Q9H788,Q8TAP6,Positive
Q9H788,Q9UJU6,Positive
Q9H788,A1L4K1,Positive
Q9H788,P62993,Positive
Q9H788,P14317,Positive
Q9H788,Q6NT76,Positive
Q9H788,Q13422,Positive
Q9H788,Q6A162,Positive
Q9H788,O95751,Positive
Q9H788,Q9BRK4,Positive
Q9H788,P43364,Positive
Q9H788,P43360,Positive
Q9H788,P50222,Positive
Q9H788,Q8ND90,Positive
Q9H788,P62136,Positive
Q9H788,P62140,Positive
Q9H788,O43586,Positive
Q9H788,Q6NUQ1,Positive
Q9H788,Q99961,Positive
Q9H788,Q86WV1,Positive
Q9H788,O60504,Positive
Q9H788,O75886,Positive
Q9H788,O75558,Positive
Q9H788,Q12933,Positive
Q9H788,P36406,Positive
Q9H788,P14373,Positive
Q9H788,Q5T124,Positive
Q9H788,Q8N6Y0,Positive
Q9H788,Q8N1B4,Positive
Q9H788,Q05516,Positive
Q9H788,A6NM66,Negative
Q9H788,Q14195,Negative
P62273,Q9BTT4,Negative
P05014,Q8N4C9,Negative
P05014,Q6UXY1,Negative
Q10586,Q14525,Negative
Q10586,Q8NG99,Negative
Q10586,Q86WC6,Negative
Q10586,O43261,Negative
Q10589,P59901,Positive
Q10589,Q96NB2,Negative
Q10589,Q9NSY0,Negative
Q10589,O94850,Negative
Q10588,A0A075B6S2,Negative
Q10588,P02729,Negative
Q10588,Q9NR19,Negative
Q9C0J1,Q96JX3,Negative
Q9C0J1,Q14739,Negative
P05019,P08833,Positive
P05019,P22692,Positive
P05019,P62070,Negative
P05019,Q9UJW7,Negative
P05019,P50391,Negative
P05019,Q86YC3,Negative
P05019,A6NLU5,Negative
O00267,P63272,Positive
O00264,O76071,Positive
O00264,P22830,Positive
O00264,P16435,Positive
O00264,Q8IZD6,Negative
O00264,O15353,Negative
O00264,P23381,Negative
Q8N7U7,P54253,Positive
Q8N7U7,Q2I0M5,Negative
Q8N7U7,P22612,Negative
Q8N7U7,P53609,Negative
P08865,Q15046,Positive
P08865,Q9BSI4,Positive
P33947,O43294,Negative
P33947,Q10471,Negative
P08861,P68104,Negative
P08861,A6PVY3,Negative
P08861,Q6ZV70,Negative
P08861,Q96AH0,Negative
Q9H2K0,Q8IUQ4,Positive
Q9H2K0,Q93083,Negative
O14756,Q15031,Negative
O14756,P30495,Negative
O14756,Q13561,Negative
O14756,Q3LI70,Negative
O14756,Q05D60,Negative
Q7Z3Z0,Q3SY84,Positive
Q7Z3Z0,Q96TA0,Negative
Q7Z3Z0,Q9NPL8,Negative
Q7Z3Z3,E5RIL1,Negative
Q7Z3Z3,P31273,Negative
Q7Z3Z3,Q96HU8,Negative
Q7Z3Z2,Q14232,Positive
Q7Z3Z2,Q7Z6M2,Negative
Q7Z3Z2,P0DPA3,Negative
Q7Z3Z2,Q5T440,Negative
Q69384,Q96A83,Negative
Q9NQ50,Q15323,Positive
Q9NQ50,Q7Z3S9,Positive
Q9NQ50,Q12800,Positive
Q9NQ50,P14373,Positive
Q9NQ50,Q5VWI1,Negative
Q9NV23,P28908,Negative
P81408,Q9NZC7,Positive
P81408,Q15084,Negative
P81408,Q05195,Negative
P81408,A8MW95,Negative
Q7Z3I7,Q9H257,Positive
Q7Z3I7,Q68D86,Positive
Q7Z3I7,P13994,Positive
Q7Z3I7,Q8NHQ1,Positive
Q7Z3I7,Q05D60,Positive
Q7Z3I7,O95995,Positive
Q7Z3I7,Q13585,Positive
Q7Z3I7,Q6P597,Positive
Q7Z3I7,Q15323,Positive
Q7Z3I7,P60370,Positive
Q7Z3I7,P60409,Positive
Q7Z3I7,P60410,Positive
Q7Z3I7,P60411,Positive
Q7Z3I7,Q9BRK4,Positive
Q7Z3I7,P50222,Positive
Q7Z3I7,Q9GZM8,Positive
Q7Z3I7,Q04864,Positive
Q7Z3I7,Q13077,Positive
Q7Z3I7,Q12933,Positive
Q7Z3I7,P14373,Positive
Q7Z3I7,Q9BYV2,Positive
Q7Z3I7,Q9Y2K1,Positive
Q7Z3I7,Q9H344,Negative
Q7Z3I7,Q01995,Negative
Q7Z3I7,P03891,Negative
Q7Z3I7,A8K554,Negative
P56557,O43542,Negative
P56557,Q15619,Negative
P56556,Q8N8E2,Negative
P56556,Q8NBJ4,Negative
P56556,Q5TFG8,Negative
P56555,Q9BSQ5,Negative
P56555,O14977,Negative
P56555,P11182,Negative
P56555,Q9UMS6,Negative
Q9NV29,Q2TAC2,Positive
Q9NV29,P50222,Positive
Q9NV29,Q9BSE2,Positive
Q9NV29,Q14C87,Negative
Q9NV29,Q9Y2T1,Negative
Q9NV29,Q9GZR1,Negative
O60248,O14503,Positive
O60248,Q96LI6,Positive
O60248,Q17RB0,Negative
O60248,Q3KP66,Negative
Q96CS7,O14503,Positive
Q96CS7,Q6P1W5,Positive
Q96CS7,P32320,Positive
Q96CS7,Q15038,Positive
Q96CS7,Q9Y6I3,Positive
Q96CS7,Q9NQ87,Positive
Q96CS7,Q8WV19,Positive
Q96CS7,O75886,Positive
Q96CS7,Q9BSL1,Positive
Q96CS7,Q8IUC6,Negative
Q9BQR3,P78539,Negative
Q9BQR3,P62760,Negative
Q2M238,Q9Y6N1,Negative
Q2M238,Q6P2C0,Negative
O95343,Q92570,Positive
O95343,Q8WUM4,Negative
O95340,Q9N2K0,Negative
P55061,Q9BSE4,Positive
P55061,Q6ZR85,Negative
P55061,Q86VY4,Negative
P55061,Q6NZY7,Negative
P55061,Q96Q83,Negative
P55061,Q16609,Negative
A8MV65,Q5T749,Positive
A8MV65,Q3LI70,Positive
A8MV65,Q9BYQ4,Positive
A8MV65,Q9BYQ0,Positive
A8MV65,P35680,Negative
A8MV65,O75084,Negative
Q9UJ99,P01817,Negative
Q6N069,P80723,Negative
Q6N069,P35321,Negative
Q13190,Q8N6L0,Positive
Q13190,Q9H9E3,Positive
Q13190,P43360,Positive
Q13190,Q9H115,Positive
Q13190,Q13277,Positive
Q13190,Q12846,Positive
Q13190,P61764,Positive
Q13190,O75410,Positive
Q13190,Q9Y216,Negative
Q9UK11,P60409,Positive
Q9UK11,Q99750,Positive
Q9UK11,Q9NQZ6,Positive
Q9UK11,Q9NTN3,Negative
Q9UK11,Q13285,Negative
Q9UK11,Q7Z7H5,Negative
Q9UJ90,Q96EQ0,Positive
Q9UJ90,O14786,Negative
Q9H0Q3,Q96BA8,Positive
Q9H0Q3,Q3KP44,Negative
P10451,P16070,Positive
P10451,Q8IXL6,Positive
P10451,P50222,Positive
P10451,O43765,Positive
P10451,Q96EQ0,Positive
Q86UA1,Q9H0E2,Positive
Q86UA1,Q6ZUS6,Negative
Q86UA1,P16219,Negative
Q8NBL1,Q8N9I0,Negative
P43234,Q00LT1,Negative
P43234,Q92949,Negative
P43235,O60669,Negative
P43235,Q14952,Negative
P43235,Q95460,Negative
P43235,P08582,Negative
Q14406,Q9BW66,Negative
Q14406,Q9UI12,Negative
D6RCP7,Q5SRN2,Negative
D6RCP7,Q8WUF8,Negative
D6RCP7,P10916,Negative
D6RCP7,P41161,Negative
Q12983,O60238,Positive
Q12983,Q9BXN2,Positive
Q12983,Q969F0,Positive
Q12983,Q5T700,Positive
Q12983,O60313,Positive
Q12983,P17152,Positive
Q12983,Q8IY82,Negative
Q12982,Q969F0,Positive
Q12982,P42685,Positive
Q12982,Q07866,Positive
Q12982,P50221,Positive
Q12982,Q9UF72,Negative
Q12982,Q9NRY7,Negative
Q12982,Q8IXS0,Negative
Q12981,O75112,Negative
Q12981,Q8NAS9,Negative
Q12981,Q6UWM9,Negative
Q12981,Q8N8Y2,Negative
Q12981,Q9NXL2,Negative
Q8WVX9,Q99757,Negative
Q8WVX9,Q06416,Negative
Q8WVX9,Q15311,Negative
Q53G59,Q9BXJ5,Positive
Q53G59,Q6UXH8,Positive
Q53G59,Q86YD7,Positive
Q53G59,Q7Z6J4,Positive
Q53G59,Q8IVS8,Positive
Q53G59,O95050,Positive
Q53G59,O95198,Positive
Q53G59,Q00013,Positive
Q53G59,Q7Z7H8,Positive
Q53G59,Q9UBV8,Positive
Q53G59,Q9NZ81,Positive
Q53G59,Q8N5L8,Positive
Q53G59,O00560,Positive
Q53G59,Q7Z614,Positive
Q53G59,Q8N205,Positive
Q53G59,Q8IV04,Positive
Q53G59,Q96HA8,Positive
Q53G59,Q9H497,Negative
P29466,Q5XLA6,Positive
P29466,P57730,Positive
P29466,P09038,Positive
P29466,P01583,Positive
P29466,O15553,Positive
P29466,Q9ULZ3,Positive
P29466,Q08AM6,Positive
P29466,Q9H0R5,Negative
P29466,Q9HD87,Negative
P29466,P60673,Negative
Q9Y605,Q9P2A4,Positive
Q9Y605,Q9H972,Positive
Q9Y605,Q6ZUJ4,Positive
Q9Y605,Q9UHG0,Positive
Q9Y605,Q08AF8,Positive
Q9Y605,Q9UBU8,Positive
Q9Y605,Q15014,Positive
Q9Y605,Q96HT8,Positive
Q9Y605,Q9H5I1,Positive
Q12988,Q9Y6W3,Negative
Q12988,Q9BQD3,Negative
Q9Y600,P06454,Negative
Q9Y600,Q92187,Negative
Q9Y600,P02538,Negative
Q9Y603,Q8NCD3,Negative
Q9Y603,Q13613,Negative
Q8N6M3,Q9UI15,Negative
Q8N6M3,Q8WVD5,Negative
P28482,P32121,Positive
P28482,P53004,Positive
P28482,Q7L5N1,Positive
P28482,P28562,Positive
P28482,Q16690,Positive
P28482,P14921,Positive
P28482,Q02750,Positive
P28482,P27361,Positive
P28482,Q15121,Positive
P28482,P35813,Positive
P28482,P35236,Positive
P28482,Q15256,Positive
P28482,Q15349,Positive
P28482,P51812,Positive
P28482,Q9BRB3,Negative
P28482,Q8WW14,Negative
P28482,A6NND4,Negative
P31942,P09651,Positive
Q8N6M6,P01036,Negative
E5RIL1,Q7Z4V5,Negative
E5RIL1,P01375,Negative
E5RIL1,Q14D04,Negative
E5RIL1,Q49AG3,Negative
E5RIL1,Q96JD6,Negative
Q8N6M5,A5D6W6,Negative
Q8N6M5,Q15390,Negative
Q8N6M5,Q8NCS7,Negative
Q8N6M5,Q4VC39,Negative
P28336,Q8WXF7,Negative
P28336,O15371,Negative
P28336,O95868,Negative
Q9Y6V7,O15123,Negative
Q9Y6V7,P05538,Negative
P28335,Q6L8G9,Negative
P28332,Q9UBF9,Negative
P28332,Q08629,Negative
P28332,Q8IUC0,Negative
P28330,Q9Y2Y9,Negative
P28330,Q99496,Negative
P28330,Q9P000,Negative
Q7RTU4,Q9NRW1,Negative
Q7RTU4,Q86V40,Negative
Q7RTU4,Q86TG7,Negative
Q9UIB8,O14796,Positive
Q9UIB8,P14550,Negative
P62829,Q9P287,Positive
P62829,Q00987,Positive
P62829,P50222,Positive
P62829,P48788,Negative
Q96CU9,Q9UBL6,Negative
Q96CU9,O95406,Negative
P62820,P31150,Positive
P62820,P50395,Positive
P62820,Q01968,Positive
Q8N9B8,P62263,Negative
Q8N9B8,Q8IXP5,Negative
Q6ZW49,P16104,Positive
Q6ZW49,Q9UKK6,Positive
Q6ZW49,Q4KN68,Negative
P62826,Q8WVL7,Positive
P62826,O15392,Positive
P62826,O94829,Positive
P62826,P61970,Positive
P62826,Q8WUF5,Positive
P62826,P18754,Positive
P62826,Q99986,Positive
P62826,P31941,Negative
P18615,Q8WX92,Positive
P18615,P14373,Positive
P18615,Q9ULX6,Negative
P18615,O60356,Negative
P18615,Q9NRF2,Negative
P17024,Q68D86,Positive
P17024,O95273,Positive
P17024,Q15323,Positive
P17024,O76015,Positive
P17024,Q6A162,Positive
P17024,P60370,Positive
P17024,P60409,Positive
P17024,P60410,Positive
P17024,P60411,Positive
P17024,Q9BQ66,Positive
P17024,Q9BYR5,Positive
P17024,Q9BRK4,Positive
P17024,Q13077,Positive
P17024,Q8IU99,Negative
P17024,A0A0B4J1V0,Negative
P51857,Q9UL52,Negative
P0C7I6,Q701N4,Negative
Q969I6,Q9GZP7,Negative
Q969I6,Q96M11,Negative
Q969I6,P17509,Negative
Q969I6,P60827,Negative
Q96HJ5,Q9H9A7,Negative
Q96HJ5,Q9GZV8,Negative
Q96HJ5,Q96PY0,Negative
Q96HJ5,Q9NPB8,Negative
P02743,Q5SY16,Negative
P02743,Q8NFQ6,Negative
P02743,Q86WC6,Negative
P02743,Q9P1Z2,Negative
P02741,P31995,Positive
P02741,Q96IJ6,Positive
P02741,P57789,Negative
P02741,A2RU30,Negative
O43913,Q13416,Positive
O43913,Q9UBD5,Positive
O43913,O43929,Positive
O43913,Q8NGX3,Negative
O43913,P07360,Negative
O43913,Q9BYT8,Negative
P02747,Q9BVC3,Negative
P02747,P0C7N5,Negative
P02747,Q8NGB9,Negative
P02746,P02745,Positive
P02746,P18847,Negative
P02746,Q9UGU5,Negative
P02746,Q8IVP5,Negative
P02746,P25705,Negative
O43916,Q2I0M4,Negative
O43916,Q8IXB3,Negative
O43918,P68431,Positive
O43918,Q9BYR6,Positive
O43918,P16333,Positive
O43918,Q6ZR37,Negative
O43918,Q8N8S7,Negative
O43918,Q6R6M4,Negative
O43918,P62745,Negative
Q8TAB7,Q8N9N5,Positive
Q8TAB7,Q6A162,Positive
Q8TAB7,P60409,Positive
Q8TAB7,P60410,Positive
Q8TAB7,P60411,Positive
Q8TAB7,Q7Z3S9,Positive
Q8TAB7,P29033,Negative
Q8TAB7,Q8N3Z0,Negative
P02749,P01130,Positive
P02749,P02776,Positive
P02749,P00747,Positive
P02749,P49427,Negative
P02749,Q86XT4,Negative
